URL,Stat
https://www.teamrankings.com/nba/stat/offensive-efficiency,Oeff
https://www.teamrankings.com/nba/stat/1st-quarter-points-per-game,Q1
https://www.teamrankings.com/nba/stat/2nd-quarter-points-per-game,Q2
https://www.teamrankings.com/nba/stat/3rd-quarter-points-per-game,Q3
https://www.teamrankings.com/nba/stat/4th-quarter-points-per-game,Q4
https://www.teamrankings.com/nba/stat/points-in-paint-per-game,PPGpaint
https://www.teamrankings.com/nba/stat/fastbreak-efficiency,Fbeff
https://www.teamrankings.com/nba/stat/points-from-2-pointers,Pts2
https://www.teamrankings.com/nba/stat/points-from-3-pointers,Pts3
https://www.teamrankings.com/nba/stat/defensive-efficiency,DEff
https://www.teamrankings.com/nba/stat/opponent-1st-quarter-points-per-game,Q1Opp
https://www.teamrankings.com/nba/stat/opponent-2nd-quarter-points-per-game,Q2Opp
https://www.teamrankings.com/nba/stat/opponent-3rd-quarter-points-per-game,Q3Opp
https://www.teamrankings.com/nba/stat/opponent-4th-quarter-points-per-game,Q4Opp
https://www.teamrankings.com/nba/stat/opponent-fastbreak-efficiency,FbeffOpp
https://www.teamrankings.com/nba/stat/opponent-points-from-2-pointers,Pts2Opp
https://www.teamrankings.com/nba/stat/opponent-points-from-3-pointers,Pts3Opp
https://www.teamrankings.com/nba/stat/shooting-pct,ShootPct
https://www.teamrankings.com/nba/stat/three-point-pct,Pct3
https://www.teamrankings.com/nba/stat/opponent-shooting-pct,ShootPctOpp
https://www.teamrankings.com/nba/stat/opponent-three-point-pct,Pct3Opp
https://www.teamrankings.com/nba/stat/offensive-rebounds-per-game,OffReb
https://www.teamrankings.com/nba/stat/defensive-rebounds-per-game,DefReb
https://www.teamrankings.com/nba/stat/opponent-offensive-rebounds-per-game,OffRebOpp
https://www.teamrankings.com/nba/stat/opponent-defensive-rebounds-per-game,DefRebOpp
https://www.teamrankings.com/nba/stat/blocks-per-game,Blockspg
https://www.teamrankings.com/nba/stat/steals-per-game,Stealspg
https://www.teamrankings.com/nba/stat/turnovers-per-game,Turnoverspg
https://www.teamrankings.com/nba/stat/opponent-turnovers-per-game,TurnoverspgOpp
https://www.teamrankings.com/nba/stat/opponent-blocks-per-game,BlockspgOpp
https://www.teamrankings.com/nba/stat/opponent-steals-per-game,StealspgOpp
https://www.teamrankings.com/nba/stat/win-pct-all-games,WinPct
https://www.teamrankings.com/nba/stat/opponent-win-pct-all-games,WinPCtOppClose
